品种,emergence,tillering,jointing,heading,flowering,grain_filling,milking,maturity
喜马拉22,3.2,5.6,6.7,5.6,7.5,16.6,15.1,9.5
藏青2000,3.0,5.2,6.9,5.9,5.4,13.6,10.2,11.7
藏青3000,3.0,5.1,6.7,6.0,6.8,11.9,11.8,11.1
